,Date,PAR,SST,site,Year,Month
1,2003-12-01,41,27,A,2003,12
3,2004-02-01,44,25,A,2004,2
4,2004-03-01,56,35,A,2004,3
5,2004-04-01,56,35,A,2004,4
6,2004-05-01,58,24,A,2004,5
7,2004-06-01,58,33,A,2004,6
8,2004-07-01,48,32,A,2004,7
9,2004-08-01,47,34,A,2004,8
10,2004-09-01,51,32,A,2004,9
11,2004-10-01,43,20,A,2004,10
12,2004-11-01,56,29,A,2004,11
13,2004-12-01,44,28,A,2004,12
14,2005-01-01,40,33,A,2005,1
15,2005-02-01,57,24,A,2005,2
16,2005-03-01,46,35,A,2005,3
17,2005-04-01,51,30,A,2005,4
18,2005-05-01,58,26,A,2005,5
19,2005-06-01,59,26,A,2005,6
20,2005-07-01,57,32,A,2005,7
21,2005-08-01,59,35,A,2005,8
22,2005-09-01,48,23,A,2005,9
23,2005-10-01,42,23,A,2005,10
24,2005-11-01,52,22,A,2005,11
25,2005-12-01,50,21,A,2005,12
26,2006-01-01,51,21,A,2006,1
27,2006-02-01,47,28,A,2006,2
28,2006-03-01,59,33,A,2006,3
29,2006-04-01,43,23,A,2006,4
30,2006-05-01,56,26,A,2006,5
31,2006-06-01,45,26,A,2006,6
32,2006-07-01,60,22,A,2006,7
33,2006-08-01,44,25,A,2006,8
34,2006-09-01,51,33,A,2006,9
35,2006-10-01,54,32,A,2006,10
36,2006-11-01,54,31,A,2006,11
37,2006-12-01,55,27,A,2006,12
38,2007-01-01,46,33,A,2007,1
39,2007-02-01,59,31,A,2007,2
40,2007-03-01,45,33,A,2007,3
41,2007-04-01,55,27,A,2007,4
42,2007-05-01,54,28,A,2007,5
43,2007-06-01,57,26,A,2007,6
44,2007-07-01,55,28,A,2007,7
45,2007-08-01,55,31,A,2007,8
46,2007-09-01,51,23,A,2007,9
47,2007-10-01,51,21,A,2007,10
48,2007-11-01,60,23,A,2007,11
49,2007-12-01,54,27,A,2007,12
50,2008-01-01,47,32,A,2008,1
51,2008-02-01,57,20,A,2008,2
52,2008-03-01,46,35,A,2008,3
53,2008-04-01,55,35,A,2008,4
54,2008-05-01,56,23,A,2008,5
55,2008-06-01,58,35,A,2008,6
56,2008-07-01,50,23,A,2008,7
57,2008-08-01,57,30,A,2008,8
58,2008-09-01,55,28,A,2008,9
59,2008-10-01,51,21,A,2008,10
60,2008-11-01,46,27,A,2008,11
61,2008-12-01,55,30,A,2008,12
62,2009-01-01,59,28,A,2009,1
63,2009-02-01,44,31,A,2009,2
64,2009-03-01,60,30,A,2009,3
65,2009-04-01,59,34,A,2009,4
66,2009-05-01,53,22,A,2009,5
67,2009-06-01,59,22,A,2009,6
68,2009-07-01,49,21,A,2009,7
69,2009-08-01,57,25,A,2009,8
70,2009-09-01,41,27,A,2009,9
71,2009-10-01,57,26,A,2009,10
72,2009-11-01,41,30,A,2009,11
73,2009-12-01,58,35,A,2009,12
74,2010-01-01,40,21,A,2010,1
75,2010-02-01,45,27,A,2010,2
76,2010-03-01,46,35,A,2010,3
77,2010-04-01,45,25,A,2010,4
78,2010-05-01,59,21,A,2010,5
79,2010-06-01,60,28,A,2010,6
80,2010-07-01,40,29,A,2010,7
81,2010-08-01,53,30,A,2010,8
82,2010-09-01,52,20,A,2010,9
83,2010-10-01,49,26,A,2010,10
84,2010-11-01,58,25,A,2010,11
85,2010-12-01,45,29,A,2010,12
86,2011-01-01,56,25,A,2011,1
87,2011-02-01,49,28,A,2011,2
88,2011-03-01,50,21,A,2011,3
89,2011-04-01,46,30,A,2011,4
90,2011-05-01,45,30,A,2011,5
91,2011-06-01,59,26,A,2011,6
92,2011-07-01,51,32,A,2011,7
93,2011-08-01,40,21,A,2011,8
94,2011-09-01,51,31,A,2011,9
95,2011-10-01,46,23,A,2011,10
96,2011-11-01,42,24,A,2011,11
97,2011-12-01,46,25,A,2011,12
98,2012-01-01,43,31,A,2012,1
99,2012-02-01,40,26,A,2012,2
100,2012-03-01,58,32,A,2012,3
101,2012-04-01,49,31,A,2012,4
102,2012-05-01,52,21,A,2012,5
103,2012-06-01,51,22,A,2012,6
104,2012-07-01,52,31,A,2012,7
105,2012-08-01,51,28,A,2012,8
106,2012-09-01,50,23,A,2012,9
107,2012-10-01,47,25,A,2012,10
108,2012-11-01,49,31,A,2012,11
109,2012-12-01,57,35,A,2012,12
110,2013-01-01,51,35,A,2013,1
111,2013-02-01,42,30,A,2013,2
112,2013-03-01,49,22,A,2013,3
113,2013-04-01,40,29,A,2013,4
114,2013-05-01,46,25,A,2013,5
115,2013-06-01,53,23,A,2013,6
116,2013-07-01,49,23,A,2013,7
117,2013-08-01,45,29,A,2013,8
118,2013-09-01,49,28,A,2013,9
119,2013-10-01,59,20,A,2013,10
120,2013-11-01,43,22,A,2013,11
121,2013-12-01,58,22,A,2013,12
122,2014-01-01,43,28,A,2014,1
123,2014-02-01,56,23,A,2014,2
124,2014-03-01,49,28,A,2014,3
125,2014-04-01,41,25,A,2014,4
126,2014-05-01,58,31,A,2014,5
127,2014-06-01,43,35,A,2014,6
128,2014-07-01,49,33,A,2014,7
129,2014-08-01,47,31,A,2014,8
130,2014-09-01,48,22,A,2014,9
131,2014-10-01,57,33,A,2014,10
132,2014-11-01,55,24,A,2014,11
133,2014-12-01,58,31,A,2014,12
134,2003-12-01,45,30,B,2003,12
135,2004-01-01,47,29,B,2004,1
136,2004-02-01,53,27,B,2004,2
137,2004-03-01,45,28,B,2004,3
138,2004-04-01,52,29,B,2004,4
139,2004-05-01,53,29,B,2004,5
140,2004-06-01,53,27,B,2004,6
141,2004-07-01,48,25,B,2004,7
142,2004-08-01,49,26,B,2004,8
143,2004-09-01,52,30,B,2004,9
144,2004-10-01,52,26,B,2004,10
145,2004-11-01,55,26,B,2004,11
146,2004-12-01,47,25,B,2004,12
147,2005-01-01,53,29,B,2005,1
148,2005-02-01,49,29,B,2005,2
149,2005-03-01,50,27,B,2005,3
150,2005-04-01,51,25,B,2005,4
151,2005-05-01,54,26,B,2005,5
152,2005-06-01,50,30,B,2005,6
153,2005-07-01,55,30,B,2005,7
154,2005-08-01,52,30,B,2005,8
155,2005-09-01,50,25,B,2005,9
156,2005-10-01,52,30,B,2005,10
157,2005-11-01,52,29,B,2005,11
158,2005-12-01,54,30,B,2005,12
159,2006-01-01,45,28,B,2006,1
160,2006-02-01,47,30,B,2006,2
161,2006-03-01,55,30,B,2006,3
162,2006-04-01,49,28,B,2006,4
163,2006-05-01,45,27,B,2006,5
164,2006-06-01,51,27,B,2006,6
165,2006-07-01,46,29,B,2006,7
166,2006-08-01,47,26,B,2006,8
167,2006-09-01,49,25,B,2006,9
168,2006-10-01,48,27,B,2006,10
169,2006-11-01,48,26,B,2006,11
170,2006-12-01,49,28,B,2006,12
171,2007-01-01,53,26,B,2007,1
172,2007-02-01,47,25,B,2007,2
173,2007-03-01,46,29,B,2007,3
174,2007-04-01,52,30,B,2007,4
175,2007-05-01,51,26,B,2007,5
176,2007-06-01,49,28,B,2007,6
177,2007-07-01,48,27,B,2007,7
178,2007-08-01,45,25,B,2007,8
179,2007-09-01,48,29,B,2007,9
